frame_idx,source,ocr_text,ocr_raw,status_text,hsv_label,hsv_green,hsv_red,vcb_box,label_box,status_box,num_boxes,yolo_ms,total_ms,fps
68,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.920) | From Aux Tr 4TR41-Y(0.738),"green (g=360, r=0)",green,360,0,"414,231,997,720,0.9771","564,599,838,664,0.9583","496,593,521,612,0.8661",3,36.790,159.989,6.250
69,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.430) | From Aux Tr 4TR41-Y(0.647),"green (g=438, r=0)",green,438,0,"412,234,995,720,0.9782","561,602,836,668,0.9635","492,595,519,616,0.8514",3,37.378,165.921,6.027
70,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.325) | From Aux Tr 4TR41-Y(0.752),"green (g=419, r=0)",green,419,0,"410,237,993,720,0.9759","559,605,833,672,0.9653","489,599,515,619,0.8704",3,37.315,160.764,6.220
71,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.672) | From Aux Tr 4TR41-Y(0.727),"green (g=368, r=0)",green,368,0,"408,240,992,720,0.9786","558,609,831,675,0.9495","487,601,512,621,0.9602",3,36.734,168.625,5.930
72,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.707) | From Aux Tr 4TR41-Y(0.764),"green (g=418, r=0)",green,418,0,"408,244,991,720,0.9813","557,612,830,678,0.9409","485,603,511,623,0.9512",3,37.588,176.181,5.676
73,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.648) | From Aux Tr 4TR41-Y(0.942),"green (g=466, r=0)",green,466,0,"408,246,992,720,0.9785","555,612,830,678,0.9468","485,604,511,625,0.9405",3,37.866,161.890,6.177
74,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.497) | From Aux Tr 4TR41-Y(0.749),"green (g=451, r=0)",green,451,0,"407,247,991,718,0.9803","557,613,831,679,0.9501","487,605,512,625,0.9299",3,37.462,161.116,6.207
75,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.663) | From Aux Tr 4TR41-Y(0.887),"green (g=461, r=0)",green,461,0,"409,247,993,718,0.9817","559,614,834,680,0.9571","488,605,515,625,0.9294",3,38.197,166.877,5.992
76,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.708) | From Aux Tr 4TR41-Y(0.948),"green (g=449, r=0)",green,449,0,"412,246,996,718,0.9796","561,613,837,679,0.9648","491,604,516,624,0.9428",3,37.708,162.223,6.164
77,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.554) | From Aux Tr 4TRA1-Y(0.606),"green (g=466, r=0)",green,466,0,"414,245,999,718,0.9801","563,612,840,678,0.9638","494,603,520,623,0.9662",3,37.929,166.305,6.013
78,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.698) | From Aux Tr 4TR41-Y(0.654),"green (g=416, r=0)",green,416,0,"416,243,1002,718,0.9820","567,611,843,676,0.9669","497,602,523,623,0.9207",3,38.685,163.825,6.104
79,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.477) | From Aux Tr 4TR41-Y(0.807),"green (g=425, r=0)",green,425,0,"417,240,1006,718,0.9806","571,609,847,675,0.9577","500,602,526,622,0.9597",3,38.376,162.562,6.151
80,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.414) | From Aux Tr 4TR41-Y(0.633),"green (g=425, r=0)",green,425,0,"417,237,1009,719,0.9776","574,607,850,673,0.9552","503,601,529,621,0.9497",3,36.984,170.102,5.879
81,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.739) | From Aux Tr 4TR41-Y(0.593),"green (g=405, r=0)",green,405,0,"419,235,1013,719,0.9785","577,606,855,672,0.9651","506,601,532,622,0.9349",3,52.149,200.619,4.985
82,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.811) | From Aux Tr 4TR41-Y(0.655),"green (g=342, r=0)",green,342,0,"422,233,1016,719,0.9790","581,605,858,671,0.9694","510,601,535,621,0.9655",3,45.935,203.967,4.903
